_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=0.16827058051564261, y=0.20121937146284413, z=-0.002196692488619798)","geometry_msgs.msg.Vector3(x=0.014734975682853691, y=0.007058986035339964, z=0.057156807638703504)",1745575494158672005
"geometry_msgs.msg.Vector3(x=0.16827058051564261, y=0.20121937146284413, z=-0.002196692488619798)","geometry_msgs.msg.Vector3(x=0.014734975682853691, y=0.007058986035339964, z=0.057156807638703504)",1745575494193908996
"geometry_msgs.msg.Vector3(x=0.16538329844700492, y=0.2071699688944453, z=-0.0022574661517173033)","geometry_msgs.msg.Vector3(x=0.015685711845046284, y=0.008140498197006489, z=0.060557058391429976)",1745575494224155615
"geometry_msgs.msg.Vector3(x=0.16531178913658875, y=0.21023732003306375, z=-0.0013757322955910388)","geometry_msgs.msg.Vector3(x=0.01613224567217989, y=0.008121542654717203, z=0.0623961541031646)",1745575494257380643
"geometry_msgs.msg.Vector3(x=0.15827073942138545, y=0.21257602134409656, z=-0.0011908350435902687)","geometry_msgs.msg.Vector3(x=0.016631182005689197, y=0.008623331799589632, z=0.06421079180909468)",1745575494290620140
"geometry_msgs.msg.Vector3(x=0.15661580880823728, y=0.21432285627185346, z=-0.0010560435005366711)","geometry_msgs.msg.Vector3(x=0.017097140297930156, y=0.00914682246843335, z=0.0658802782852984)",1745575494323607349
"geometry_msgs.msg.Vector3(x=0.15033487484027513, y=0.21620680769322462, z=-0.00015048189793274476)","geometry_msgs.msg.Vector3(x=0.017538415071544532, y=0.009161727136582731, z=0.0676822592215049)",1745575494354684088
"geometry_msgs.msg.Vector3(x=0.13992654844700037, y=0.21737778659304888, z=0.0003292507253758422)","geometry_msgs.msg.Vector3(x=0.018008125827496925, y=0.009515899340070362, z=0.06944492238889649)",1745575494388071832
"geometry_msgs.msg.Vector3(x=0.14358573391964602, y=0.2187113218563615, z=0.0017307929889563358)","geometry_msgs.msg.Vector3(x=0.018428949119914512, y=0.00919704840243098, z=0.0713164178471813)",1745575494421170986
"geometry_msgs.msg.Vector3(x=0.13156545437464837, y=0.21901340557172086, z=0.002375376647112795)","geometry_msgs.msg.Vector3(x=0.018890536008375775, y=0.009465830119192517, z=0.07308501394353295)",1745575494455098646
"geometry_msgs.msg.Vector3(x=0.12559068090330266, y=0.21957325561632654, z=0.0040273219955148255)","geometry_msgs.msg.Vector3(x=0.019257694641085767, y=0.00889522593201095, z=0.07485220305550873)",1745575494487242144
"geometry_msgs.msg.Vector3(x=0.12182213869603815, y=0.21927728777288213, z=0.005286236115981923)","geometry_msgs.msg.Vector3(x=0.01967218900661411, y=0.008671744301778118, z=0.07665393728485348)",1745575494530538094
"geometry_msgs.msg.Vector3(x=0.11856166567680848, y=0.21857940600324202, z=0.0067280821358304205)","geometry_msgs.msg.Vector3(x=0.02005874482947098, y=0.008266657125198912, z=0.07842458904526266)",1745575494554417540
"geometry_msgs.msg.Vector3(x=0.11465735033878638, y=0.2174546622600499, z=0.008407298717064297)","geometry_msgs.msg.Vector3(x=0.02042446583389388, y=0.007637054811945376, z=0.08021299242353605)",1745575494604181451
"geometry_msgs.msg.Vector3(x=0.11000555883319141, y=0.21537761796496205, z=0.01007489886345387)","geometry_msgs.msg.Vector3(x=0.020821037820474893, y=0.007043896416999607, z=0.08211111253197385)",1745575494630415580
